Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.Grunnbemanning totalt
973350366	Askhøgda barnehage	4.6
995166429	Ekornstua Familiebarnehage Anne Sundstu	1.1
988741795	Espira Brådalsfjellet barnehage	20
974547686	Gjerdrum barnehage	21.1
998769620	Gjerdrum Friluftsbarnehage	4.6
974547767	Grønlund barnehage	14.2
994615793	Hoelstoppen Familiebarnehager Tove Olstad	1.7
980901084	Læringsverkstedet barnehage Avd Bekkeberget	13.9
812448072	Hoppensprett Hurdal AS	9.4
885268412	Hurdal barnehage	5.3
995412772	Læringsverkstedet barnehage Avd Hurdal	16.7
986383670	Ahus Norbyhagen barnehage 2	12
974706512	Ahus Nordbyhagen barnehage 1	13
986383719	Ahus Nordbyhagen barnehage 3	18
986383778	Ahus Nordbyhagen barnehage 4	16.8
986383794	Ahus Nordbyhagen barnehage 5	14
988255947	Bambi Familiebarnehage	2.2
980891186	Benterud barnehage	13.1
975325946	Bruget barnehage	3.7
992506652	Bårliskogen barnehage	17.6
991479996	Eventyrstua barnehage	13.9
975301850	Finstad barnehage	12
975301869	Fjellhamar barnehage	10
975325938	Fjellsrud barnehage	14.6
918282203	Framtia barnehage	20.8
975301877	Grønlia barnehage	18.6
990285098	Gülserens Familiebarnehage	1.1
995108186	Hundremeterskogen Familiebarnehage	1.1
975315487	Kjenn barnehage	19.6
975323080	Klubben barnehage	4.5
984335180	Kløverhagen Familiebarnehage	1.1
890063292	Kløverhagen Familiebarnehage 2 Inger Elisabeth Bjørnsrud Olaussen	1.1
975318222	Kurland barnehage	17
987004436	Langgrunna Private Familiebarnehage	1.1
988957860	Lille Stjerne Familiebarnehage	1.1
988345482	Luna Familiebarnehage Avdeling Fjellhamar	2.2
918340556	Luna Familiebarnehage Avdeling Skårer	2.2
976344529	Læringsverkstedet barnehage Avd Margaretalia	9.5
975301885	Løken barnehage	19.3
975301893	Løkenåsen barnehage	12.5
995108208	Lørenskog Familiebarnehage	1.1
984230419	Nesåsen barnehage Sa	11.5
975301907	Rasta barnehage	17.9
886009232	Regnbuen barnehage Lørenskog	9
988317314	Rolvsrud barnehage	18
973346679	Skårungen Barnehave Sa	5
986707093	Småknøttene Familiebarnehage	1.1
975301915	Solheim barnehage	16.6
995108216	Solheim Familiebarnehage	1.1
973464906	Stiftelsen Idavollen Steinerbarnehage	12
972773816	Sørli barnehage	12.8
892310262	Takt og Tone	6.2
981525337	Takt og Tone AS	6.4
985828873	Tre Troll	10
975301923	Vallerud barnehage	13.8
973484265	Vangen barnehage Sa	11.2
988267740	Åsheimskog Fus barnehage AS	17
875302132	Bjerke barnehage	15
985323852	Bjerketun barnehage	2.7
987381035	Breenenga Fus barnehage AS	17
984914571	Eltonåsen barnehage	16.6
975302148	Holter barnehage	23
988532754	Kringler - Slattum barnehage	7.5
992782765	Læringsverkstedet barnehage Avd Maura	10.1
987811412	Løkka barnehage AS	4.4
975302156	Midtbygda barnehage	17.6
989305425	Prestmosen Fus barnehage AS	18
973501151	Solheim barnehage Al	13.1
975315371	Auli barnehage	12
987806230	Espira Furuholmen barnehage	14.4
988116246	Espira Kløverenga barnehage	22.2
992223162	Espira Opaker barnehage	20.1
896210882	Hoppensprett Brårud	8.3
975302083	Hoppensprett Fjellfoten	16.9
973683225	Husmo barnehage Sa	12.5
973514067	Korsdalen barnehage AS Avd Grendehusvegen	20.5
991239022	Korsdalen barnehage AS Avd Hagadalen	10
973456989	Læringsverkstedet barnehage Avd Haga	14.1
819294542	Læringsverkstedet barnehage Avd Øvre Neskollen	11.4
988554626	Nes kommune Familiens Hus Åpen Barnehage	1.2
986911081	Neskollen Melkevegen barnehage	25
987278595	Neskollen Tellusvegen barnehage	21
982978815	Skogbygda barnehage	7.9
975295788	Svarverud barnehage	18
979428812	Tomteråsen barnehage Sa	10.8
973348973	Udnes Naturbarnehage AS	2.5
972399450	Vormsund barnehage Sa	14
973454862	Alværn barnehage Sa	3.2
973597639	Askeladden barnehage	3
973706160	Aurora Steinerbarnehage	6.9
990596182	Balderblom Anne Kristin Rustad	2.3
973454870	Bergerkollektivet barnehage	3.2
975301729	Bjørnemyr barnehage	9
973936301	Ellingstad barnehage AS	7.4
988725919	Fager Skog Fus barnehage AS	14.8
975301745	Fagerstrand barnehage	21
997115953	Fjellveien barnehage	6.4
