Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.0 år	2017.Alle eierformer.1 år	2017.Alle eierformer.2 år	2017.Alle eierformer.3 år	2017.Alle eierformer.4 år	2017.Alle eierformer.5 år
814045382	Nøtteliten Familiebarnehage Avd Østeråsbakken	0	3	5	0	0	0
976134176	Oddenskogen barnehage Sa	0	5	14	17	18	19
990940045	Piruetten Kanvas-Barnehage	0	14	11	14	11	11
974553937	Plahtejordet barnehage	0	9	10	15	7	27
873500832	Prestekragen Familiebarnehage	0	5	3	0	0	0
973500783	Ramstad barnehage	0	0	2	4	4	6
990839891	Reddiken Kanvas-Barnehage	0	15	13	14	28	32
893581642	Ringstabekk Fus barnehage AS	0	15	15	18	21	22
891554842	Rugekassen AS Avd Bærum	1	5	2	0	0	0
973449931	Ruglandveien barnehage	0	4	5	11	12	13
993492604	Rådyrhagen AS	0	1	3	0	0	0
974204592	Skarva Grendehus Avd. barnehage	0	1	5	2	3	5
977561345	Skaubo barnehage	0	9	7	9	8	8
974554259	Skogveien barnehage	0	4	14	17	12	8
974554267	Sleiverud barnehage	0	9	8	13	10	15
973336436	Snarøya barnehage	0	1	6	6	4	7
974554186	Stabekk barnehage Avdeling Stabekk	0	5	6	20	17	12
988340758	Stabekk Familie barnehage	2	3	3	0	0	0
973931733	Stabekktunet barnehage	0	6	8	9	9	7
974204622	Stiftelsen Almeskogen Steinerbarnehage	0	7	11	10	11	15
983164765	Stiftelsen Det Norske Veritas barnehage	1	10	11	13	11	9
973500848	Stiftelsen Sollia barnehage	0	5	8	7	5	8
885889212	Storeng Familiebarnehage Da	0	2	6	0	0	0
974705710	Storenga barnehage og Storenga Familiebarnehage Sa Avd Barnehage	0	0	5	9	9	7
994917145	Storenga barnehage og Storenga Familiebarnehage Sa Avd Familiebarnehage.	0	4	4	0	0	0
993593001	Storøya barnehage	0	13	29	29	32	36
973445979	Strand barnehage Sa	0	7	8	13	11	9
974553821	Ståvi barnehage Avd Borkenhagen	0	4	5	4	9	5
974554208	Ståvi barnehage Avd Skui	0	2	6	4	10	6
988495220	Sukkerspinn Familiebarnehage Da	1	5	2	0	0	0
973483528	Søråsen barnehage	0	4	14	12	21	17
981428048	Tanum barnehage Sa	0	11	10	13	13	12
991418776	The International Kindergarten	0	0	0	7	11	11
973484516	Tommeliten barnehage	0	1	4	2	5	1
974554232	Toppenhaug barnehage Avd Nedre Toppenhaug	0	3	9	10	11	8
974554275	Toppenhaug barnehage Avd Øvre Toppenhaug	0	5	3	10	12	15
913387031	Trygg Start Familebarnehage Avd Emma Hjort	1	4	3	0	0	0
997173848	Trygg Start Familiebarnehage Avd Blommenholmveien	0	6	2	0	0	0
992217731	Trygg Start Familiebarnehage Avd Grevlingåsen	0	6	2	0	0	0
992217723	Trygg Start Familiebarnehage Avd Grindstuveien	0	4	4	0	0	0
991963650	Trygg Start Familiebarnehage Avd Ramstadåsveien	0	6	2	0	0	0
984875843	Tusseladden Familiebarnehage Ans	0	4	4	0	0	0
973494422	Tøffe barnehage Sa	0	4	8	13	13	10
987697199	Vallerstua barnehage	0	3	4	6	5	2
974553856	Vallersvingen barnehage	0	10	20	17	15	14
973461168	Veslefrikk barnehage	0	5	5	9	3	5
916729375	Vøyen Fus barnehage AS	0	9	4	7	1	2
992328827	Østerås barnehage	0	18	28	28	30	27
987805331	Østerås barnehage Avd Ovenbakken	0	1	11	0	0	0
973500791	Østheim barnehage	0	0	6	7	8	9
976285964	Øverland barnehage AS	0	4	6	12	7	12
974554305	Ås barnehage Avd Vestre Jong	0	4	11	9	13	19
974554143	Ås barnehage Avd Vågebytoppen	0	6	3	13	10	13
974554135	Åsterud barnehage Avdeling Åsterudveien	0	7	6	10	13	14
973445936	Andungen barnehage 1. Sa	0	2	4	3	5	6
988435074	Ankertunet barnehage	0	11	10	10	14	14
973487493	Brensmork barnehage	0	13	13	10	12	14
990669449	Bønsmoen barnehage	0	16	28	27	36	36
994942174	Camilla barnehage AS	0	8	7	9	5	8
984034229	Dalsliene barnehage	1	15	13	13	17	14
992086696	Feiring Aktivitetsbarnehage AS	1	5	14	14	14	12
993299340	Knausen Fus barnehage AS	1	13	17	16	14	16
977423813	Ladderud barnehage AS	0	6	1	2	12	6
989965603	Læringsverkstedet barnehage Avd Bjørnsrud Skog	1	15	14	11	23	14
993445835	Læringsverkstedet barnehage Avd Dal	0	17	27	25	24	25
993945609	Læringsverkstedet barnehage Avd Folkeparken Dal	3	35	32	21	36	26
989964682	Læringsverkstedet barnehage Avd Mork	5	18	17	19	24	20
995412780	Læringsverkstedet barnehage Avd Råholt	1	20	32	18	36	22
975325954	Råholtbråtan barnehage	0	9	9	13	24	15
874706892	Stensby barnehage	0	8	6	14	11	19
975302121	Vilberg barnehage	1	11	17	14	18	16
982368154	Øvre Romerike Steinerbarnehage Veslebrunen	0	3	5	5	11	4
980079945	Åsleia Gårdsbarnehage	1	7	8	10	12	8
988008222	Bergskaug Fus barnehage AS	0	4	11	11	15	12
974188465	Fjellknatten barnehage	0	0	5	4	4	2
975295710	Flateby barnehage	1	16	11	17	17	15
977478944	Hauglia barnehage Sa	0	4	13	17	16	10
975315657	Kirkebygden barnehage	0	8	6	13	11	14
985713553	Mari Andelsbarnehage Sa	1	1	2	2	2	7
983830285	Melgård Andelsbarnehage	0	7	12	11	13	12
992098929	Mjær Fus barnehage AS	1	9	9	7	12	15
974146037	Nlm Barnehagene AS Avd Emaus Barnehage	1	5	4	5	7	5
972399442	Nylende barnehage Sa	0	9	14	18	22	14
975301842	Ytre Enebakk barnehage	1	10	13	23	16	19
987992921	Østmarkskollen Fus barnehage AS	1	7	7	14	11	17
984967608	Engebakken Familiebarnehage Da	1	4	1	3	0	0
980507300	Fetsund barnehage	1	14	13	12	12	13
873606002	Garderåsen barnehage	0	0	18	12	10	20
973606018	Læringsverkstedet barnehage Avd Idrettsbarnehage Østersund	1	41	34	20	28	11
991042148	Nerdrumshagen barnehage AS	0	6	9	16	16	13
